Software 	Version	Link
FastQC	0.12.1	https://www.bioinformatics.babraham.ac.uk/projects/fastqc/
Trimmomatic	0.39	https://github.com/timflutre/trimmomatic
MultiQC	1.25.1	https://github.com/MultiQC/MultiQC
Trinity	2.15.1	https://github.com/trinityrnaseq/trinityrnaseq/wiki
CD-HIT	4.8.1	https://github.com/weizhongli/cdhit
Bioconda 	4.13	https://github.com/bioconda
Bowtie2	2.5.4	https://github.com/BenLangmead/bowtie2
BUSCO	5.8.1	https://busco.ezlab.org/
CAR package (R )	3.1-3	https://cran.r-project.org/web/packages/car/index.html
R Base	4.3.1	https://www.r-project.org/
Tidyverse (R )	2.0.0	https://tidyverse.org/
MMSeqs2 	v15-6f452+ds-2 	https://github.com/soedinglab/MMseqs2
Eulerr (R )	7.0.4	https://cran.r-project.org/web/packages/eulerr/index.html
g:ProfileR	0.2.3	https://biit.cs.ut.ee/gprofiler/gost
CPAT	3.0.0	https://cpat.readthedocs.io/en/latest/#introduction
statsmodel	0.14.4	https://www.statsmodels.org/stable/index.html
EMBOSS	6.5.7	https://ssbio.readthedocs.io/en/latest/instructions/emboss.html
Salmon	10.0.1	https://salmon.readthedocs.io/en/latest/salmon.html
Bioconductor (R )	3.21	https://bioconductor.org/packages/3.21/BiocViews.html
WGCNA (R )	1.73	https://cran.r-project.org/web/packages/WGCNA/index.html
BiomaRt	2.58.2	https://bioconductor.org/packages/release/bioc/html/biomaRt.html
clusterProfiler	4.10.21	https://bioconductor.org/packages/release/bioc/html/clusterProfiler.html
Ubuntu (WSL2)	20.04	https://ubuntu.com/download
